	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000211459	20.47410737	-0.216529469	0.600787704	-0.360409288	0.718541082	0.950383443
ENSG00000210082	20.04091341	-0.396099888	0.548819555	-0.721730639	0.470460101	0.884305288
ENSG00000198888	41195.14763	-0.000735649	0.118355922	-0.006215565	0.995040729	0.998882359
ENSG00000210100	4.845979854	-0.048447131	0.297076537	-0.163079627	0.87045574	0.976747521
ENSG00000198763	41640.16499	0.008088884	0.110025332	0.073518377	0.941393621	0.989382846
ENSG00000210135	248.4951467	-0.025232422	0.15940501	-0.158291274	0.874227283	0.977725301
ENSG00000210140	222.5982867	-0.013629979	0.169884497	-0.08023086	0.936053646	0.98819583
ENSG00000210144	31.49598762	0.173027033	0.192816044	0.897368444	0.369522345	0.846177301
ENSG00000198804	285035.6931	-0.150533783	0.107273386	-1.403272412	0.160535622	0.732746781
ENSG00000198712	37496.4543	-0.025628734	0.157951023	-0.162257471	0.871103104	0.976747521
ENSG00000228253	2548.060367	-0.086942282	0.134658341	-0.645650921	0.518505452	0.899500682
ENSG00000198899	41099.42757	-0.137657022	0.103036096	-1.336007736	0.181546745	0.748129017
ENSG00000198938	77467.28567	-0.236659344	0.123051459	-1.923255094	0.054448021	0.600335699
ENSG00000210164	16.64979111	0.091418022	0.218893125	0.417637704	0.676212025	0.940272468
ENSG00000198840	2120.289227	0.025929691	0.125113227	0.2072498	0.835814777	0.968617661
ENSG00000210174	12.72450289	0.141589668	0.21926464	0.645747841	0.518442672	0.89944422
ENSG00000212907	2817.0602	0.003126012	0.107314663	0.029129405	0.976761384	0.994614293
ENSG00000198886	108988.3215	-0.094349544	0.093631007	-1.007674133	0.313610927	0.826012304
ENSG00000210176	19.89251649	0.151896121	0.221843494	0.684699464	0.493533588	0.89272355
ENSG00000210184	17.84498179	0.074601668	0.221960196	0.336103814	0.736792582	0.95239024
ENSG00000210191	11.40802373	0.184323281	0.229413104	0.803455766	0.421711354	0.868235772
ENSG00000198786	56696.56365	-0.03242957	0.115944452	-0.279699199	0.779708293	0.960616005
ENSG00000198695	6446.620133	0.001616453	0.126555669	0.012772664	0.989809166	0.997622478
ENSG00000198727	59609.9681	-0.126131585	0.136030351	-0.927231193	0.353806511	0.840147017
ENSG00000210195	7.753882073	-0.090309708	0.256005572	-0.352764619	0.724264911	0.950574446
ENSG00000210196	153.8781563	0.201860268	0.134869184	1.496711562	0.134468326	0.7101801
ENSG00000230724	178.863959	0.07056708	0.142332423	0.495790618	0.620042145	0.925651037
ENSG00000255229	2.844582651	0.257409577	0.598002329	0.430449122	0.666868969	0.937907133
ENSG00000177951	549.0372727	-0.020392126	0.101435677	-0.201035044	0.840671172	0.968940544
ENSG00000188076	10.76146042	0.369728336	0.409158871	0.903630257	0.366191492	0.844249603
ENSG00000177947	55.22614684	0.385266068	0.263855756	1.460138954	0.144251889	0.721380684
ENSG00000177963	1745.534696	-0.089699985	0.082075692	-1.092893435	0.274440591	0.808069768
ENSG00000142082	783.0078695	-0.002881062	0.076015481	-0.037900987	0.969766626	0.993999687
ENSG00000185627	1580.98478	0.014132435	0.112224655	0.125929858	0.899787448	0.982553097
ENSG00000174885	24.87157877	0.189187643	0.255592501	0.740192466	0.459183219	0.881127558
ENSG00000255026	20.65894046	0.062372106	0.246231104	0.253307177	0.800030851	0.963443888
ENSG00000142102	955.5346039	0.002382208	0.178829768	0.01332109	0.989371622	0.997547755
ENSG00000206013	13.01947241	-0.038622731	0.266376669	-0.144992919	0.884716462	0.979105526
ENSG00000185201	284.1251847	-1.015552793	0.450400193	-2.254778769	0.024147219	0.494130826
ENSG00000254910	63.85490223	-0.131896016	0.180194053	-0.731966531	0.464188996	0.881873333
ENSG00000185885	599.7057394	-0.968517172	0.477746385	-2.027262169	0.042635608	0.555974871
ENSG00000251661	36.52618927	-0.025733021	0.181855588	-0.141502501	0.887472984	0.980084998
ENSG00000142089	2341.464979	-0.433797363	0.345482535	-1.255627474	0.209251065	0.768187583
ENSG00000255328	16.31470357	-0.203037535	0.2758615	-0.736012581	0.461723041	0.881376996
ENSG00000182272	3670.933976	-0.016697973	0.133462484	-0.125113607	0.900433611	0.982593458
ENSG00000184363	4.807590354	-1.506957243	0.636292845	-2.368339131	0.017868149	0.461038537
ENSG00000185187	21.23267548	-0.355162223	0.258262256	-1.375199874	0.169069487	0.739157725
ENSG00000174915	804.3345987	-0.129103775	0.06722518	-1.920467528	0.054798871	0.602102327
ENSG00000023191	1195.536423	0.038980979	0.110627738	0.352361709	0.724567015	0.950574446
ENSG00000254739	12.33112284	-0.018241447	0.183368612	-0.099479658	0.920757438	0.985536115
ENSG00000174775	435.8428169	-0.006307298	0.138340185	-0.04559267	0.963634912	0.993029292
ENSG00000161328	95.57887767	0.028779018	0.188303077	0.152833501	0.878529578	0.978372949
ENSG00000185522	102.1425491	-0.028294939	0.343224456	-0.082438585	0.934297954	0.987967061
ENSG00000254815	35.29414443	0.066748583	0.33931903	0.19671335	0.844051862	0.969930971
ENSG00000099849	119.7944412	0.081989576	0.185058545	0.443046689	0.657731964	0.935664535
ENSG00000247095	49.78529522	0.263660883	0.20502985	1.285963399	0.198455836	0.760527596
ENSG00000070047	1741.035795	0.027505253	0.088775774	0.309828361	0.756691483	0.954789856
ENSG00000185507	430.3892834	-0.029949438	0.145575194	-0.205731743	0.837000462	0.968617661
ENSG00000099834	359.1709767	0.232917453	0.211061048	1.1035549	0.269786264	0.806069363
ENSG00000070031	29.52551954	0.318088071	0.192841314	1.649480934	0.099049146	0.66969065
ENSG00000069696	205.9278181	-0.204761666	0.201010062	-1.018663762	0.308362622	0.824311288
ENSG00000177030	2407.519317	-0.027103174	0.093511127	-0.289839024	0.771939392	0.958720752
ENSG00000255158	53.36533484	0.133798274	0.131297702	1.019045056	0.308181577	0.824311288
ENSG00000177106	117.8854897	-0.286944156	0.177876129	-1.613168428	0.106707921	0.680068689
ENSG00000177042	427.9835515	-0.05489438	0.115662414	-0.474608627	0.635065956	0.930353574
ENSG00000177156	1329.547851	0.052635507	0.15564085	0.338185678	0.735223268	0.95239024
ENSG00000177225	1095.781343	0.008707676	0.097668058	0.089155819	0.928958077	0.987585361
ENSG00000255284	110.2306981	0.048445505	0.099830831	0.485275985	0.627480588	0.928456555
ENSG00000177236	83.18373002	-0.090809326	0.134165053	-0.676847839	0.498502502	0.893131553
ENSG00000255142	43.10898314	0.213947022	0.130949653	1.633811294	0.10229848	0.675062173
ENSG00000184524	255.7291318	0.054796441	0.212716975	0.257602579	0.796713639	0.962889973
ENSG00000177542	681.7265992	0.043236433	0.093050092	0.464657612	0.642176668	0.932434296
ENSG00000177595	570.6639468	0.010095101	0.139714854	0.072255027	0.942398954	0.989467086
ENSG00000177600	4042.057826	-0.01471347	0.124156332	-0.118507612	0.905665464	0.983234295
ENSG00000177666	628.7018727	-0.208957179	0.109617281	-1.906243042	0.05661868	0.602694953
ENSG00000255108	8.892650616	-0.097645573	0.181771447	-0.537188731	0.591137255	0.91855275
ENSG00000177685	319.5938682	-0.178662746	0.18154637	-0.984116322	0.325058322	0.830662602
ENSG00000177697	1606.900992	-0.231163818	0.137795649	-1.677584303	0.093428279	0.660767731
ENSG00000177700	249.3234758	-0.257565993	0.184207732	-1.398236604	0.162042028	0.734422659
ENSG00000214063	523.6819031	0.106339742	0.08998423	1.181759759	0.237301039	0.786945493
ENSG00000250397	64.63147161	0.245986893	0.16012422	1.536225393	0.12448311	0.700059998
ENSG00000177830	1146.625256	-0.114421502	0.083620775	-1.368338213	0.171206235	0.74115006
ENSG00000183020	2245.148469	-0.058088038	0.062060233	-0.93599452	0.349276009	0.839286515
ENSG00000222561	10.21652011	0.042948176	0.191067258	0.224780405	0.822150111	0.965873241
ENSG00000184956	75.30300809	0.250783451	0.211915381	1.18341316	0.236645444	0.786945493
ENSG00000254872	5.834501059	-0.446976886	0.395055922	-1.131426872	0.257875467	0.799370654
ENSG00000215182	14.30722583	0.130782963	0.363565626	0.359723123	0.719054198	0.950383443
ENSG00000117983	129.526491	0.168471312	0.151055619	1.115293253	0.264724776	0.805303626
ENSG00000078902	1527.118273	-0.213349493	0.100444921	-2.124044608	0.033666414	0.537037966
ENSG00000255153	15.3651946	-0.129199962	0.252863255	-0.510947952	0.609387503	0.922531397
ENSG00000174672	1145.758594	0.273223745	0.179506905	1.522079303	0.127989211	0.704514055
ENSG00000182208	210.2705767	-0.010280163	0.072422822	-0.141946451	0.887122303	0.97998175
ENSG00000184545	1205.819376	0.238954863	0.225951555	1.057549097	0.29026106	0.815573531
ENSG00000233930	207.8524709	0.126038144	0.246746656	0.510799804	0.609491247	0.922531397
ENSG00000205869	31.47016505	0.300211391	0.297092824	1.010496945	0.312257262	0.825600209
ENSG00000244242	165.7971511	-0.144065967	0.280693189	-0.513250668	0.607775987	0.922158674
ENSG00000250644	21.19794419	-0.169745032	0.275532765	-0.61606115	0.537854162	0.903938759
ENSG00000117984	2814.510214	-0.295266504	0.1416628	-2.084291026	0.037133703	0.547750761
ENSG00000235027	40.86983119	-0.032134659	0.18615623	-0.172621991	0.862948565	0.975114452
ENSG00000229512	12.7650907	-0.252999788	0.232397202	-1.088652472	0.276307168	0.808619521
ENSG00000149043	2.05174183	-0.648127156	0.911576778	-0.710995686	0.477086909	0.886605946
ENSG00000130592	20.26118616	-0.027925768	0.482603746	-0.057864797	0.953856324	0.991610943
ENSG00000130595	2.213059871	-0.823022586	0.691974269	-1.189383223	0.2342889	0.786193042
ENSG00000214026	368.3326315	0.091848401	0.094165641	0.975391875	0.329365913	0.830662602
ENSG00000226416	89.63687641	0.218141248	0.227962767	0.95691613	0.338609589	0.834531959
ENSG00000232987	39.91434028	0.276596361	0.344165524	0.803672484	0.421586149	0.868235772
ENSG00000130600	221.629796	0.977645959	0.449649144	2.174241788	0.029686982	0.521978547
