SystemCode	ID	log2FC	pvalue
Ce	16977	-0.101562843	0.107742966
Ce	17203	-0.622418457	6.37E-07
Ce	16551	-2.529019348	1.35E-05
Ce	15746	4.073711205	1.46E-24
Ce	18147	2.046779371	1.24E-31
Ce	143268	-4.388866443	6.04E-24
Ce	16651	0.076139138	0.209803142
Ce	16540	3.535441582	1.28E-36
Ce	16530	-3.586539725	8.11E-22
Ce	50613	-3.511478399	2.47E-20
Ce	15428	-1.014895791	1.19E-09
Ce	30746	-3.689103945	4.69E-36
Ce	132952	-4.01611616	1.88E-18
Ce	48928	3.717214638	2.09E-21
Ce	17987	-2.822646504	5.99E-13
Ce	17363	3.108322649	1.14E-19
Ce	33569	4.677369658	4.02E-22
Ce	48430	-3.972909779	2.04E-20
Ce	16199	-0.329298305	6.63E-05
Ce	17115	2.098818302	2.43E-29
Ce	18012	2.794414075	7.06E-24
Ce	17568	2.255891644	2.31E-19
Ce	15741	4.27416264	2.87E-36
Ce	15811	-3.391211888	6.68E-19
Ce	15699	2.885822159	7.99E-38
Ce	17113	0.800052227	5.27E-21
Ce	17202	4.215232669	5.65E-38
Ce	16857	0.327311593	0.000213465
Ce	18095	-1.228691826	5.04E-13
Ce	78682	6.558425158	8.77E-13
Ce	78679	5.024485879	5.96E-29
Ce	18300	3.173979991	1.64E-15
Ce	4178	-3.377970173	5.51E-21
Ce	14314	3.731554722	1.62E-10
Ce	16737	4.120538704	1.61E-29
Ce	16108	4.049466601	7.72E-20
Ce	44897	-2.833802152	1.65E-18
Ce	16958	4.879760208	9.20E-28
Ce	17665	4.368246327	2.95E-11
Ce	15682	2.492972686	1.07E-33
Ce	18105	5.56536588	1.61E-29
Ce	28790	-3.111533502	1.53E-11
Ce	15963	1.668303313	1.68E-19
Ce	32816	-1.175004883	3.98E-12
Ce	17295	-0.986268136	7.11E-18
Ce	27861	3.437574348	1.75E-26
Ce	15729	-3.094206442	3.10E-20
Ce	16024	-5.289493221	1.63E-27
Ce	30797	2.954950798	1.00E-37
Ce	29073	6.453707947	3.59E-15
Ce	16865	10.60944924	2.01E-31
Ce	17053	7.202466388	1.07E-31
Ce	16708	3.163457572	7.35E-15
Ce	15908	2.683522805	1.97E-52
Ce	16414	-2.446459884	4.02E-19
Ce	78697	4.950883037	5.03E-13
Ce	16283	-2.930646948	2.44E-25
Ce	506227	4.950883037	5.03E-13
Ce	16643	-0.919501076	3.83E-10
Ce	15891	4.237779156	2.31E-23
Ce	16010	3.859029011	3.55E-29
Ce	17154	3.920399645	1.44E-15
Ce	37024	3.640254299	3.56E-18
Ce	17596	6.407187329	6.68E-30
Ce	16015	5.075361692	2.85E-22
Ce	25448	4.033544734	7.38E-35
Ce	17148	2.760278014	5.36E-15
Ce	62345	0.930854909	1.98E-21
Ce	17561	3.165682939	9.49E-26
Ce	16732	6.688456853	8.57E-41
Ce	20067	-5.141459701	7.24E-12
Ce	30915	-1.701248128	1.83E-16
Ce	16344	4.020394217	6.32E-44
Ce	41033	9.968987298	4.64E-29
Ce	17754	-0.243196914	0.003143407
Ce	139382	3.040369461	7.95E-21
Ce	16364	2.307799394	2.67E-32
Ce	30837	-4.115092594	7.49E-18
Ce	17196	1.441413188	5.18E-23
Ce	16761	5.662182297	1.22E-39
Ce	17540	2.619743627	4.25E-21
Ce	48950	2.760278014	5.36E-15
Ce	27956	2.255699535	6.02E-38
Ce	15978	4.991215141	2.84E-36
Ce	17270	3.633291649	5.58E-25
Ce	17509	3.28808653	1.87E-32
Ce	9119	3.859085153	2.51E-29
Ce	29042	2.654434056	1.69E-34
Ce	15603	-2.293863397	7.28E-21
Ce	4866	-4.295711256	2.37E-15
Ce	17634	-3.607962497	3.62E-29
Ce	30769	-1.212949378	1.24E-20
Ce	17431	2.760278014	5.36E-15
Ce	17973	-0.091331594	0.497957938
