"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000185201",284.125184677608,-1.01555279347306,0.450400193303609,-2.25477876913008,0.0241472185495299,0.494130825693947
"ENSG00000184363",4.80759035351244,-1.50695724343582,0.636292844885521,-2.36833913118566,0.0178681490023886,0.461038536705169
"ENSG00000167244",432.297037706893,-1.56516457853017,0.707554148898401,-2.21207745155194,0.0269613138263747,0.506213077598268
"ENSG00000180176",125.317867730018,-1.26105633962963,0.529828949647204,-2.38011973575495,0.0173070134307787,0.456109795131183
"ENSG00000148942",73.8101168906733,-1.95931411321964,0.576468704148687,-3.39882130481497,0.00067676918069269,0.12391225942279
"ENSG00000165923",17.5054188732497,-1.64130147322437,0.378190949442101,-4.33987507010832,1.42563742252682e-05,0.0120052243093614
"ENSG00000168004",13.3072288397414,-1.97415172039867,0.566885278920172,-3.48245367062471,0.000496841183828953,0.116299321554828
"ENSG00000173156",7.53699688651717,-1.64942430634112,0.457746767267897,-3.60335544516426,0.00031413548352247,0.0943992993413482
"ENSG00000123892",31.6462979570265,-1.10949713272416,0.508161261077445,-2.18335638252257,0.02900957539662,0.517967015306788
"ENSG00000235505",2.81612823700951,-2.19211929352173,0.732585513803198,-2.9923049967797,0.00276879491727307,0.229258884168056
"ENSG00000254811",3.20735293096127,-2.47144184891736,0.545562516976153,-4.53008000369165,5.89613551285133e-06,0.00759683552332261
"ENSG00000254416",6.62344247095827,-1.43707761737187,0.439516585214948,-3.26967779081433,0.00107670051223102,0.159338364201868
"ENSG00000134954",127.116744974112,-1.27366645891858,0.484546243325565,-2.62857565498204,0.00857432806076291,0.362382362229709
"ENSG00000166105",13.6358378860341,-1.26073891814102,0.512975435509309,-2.45769842154195,0.0139830541909056,0.419904907935707
"ENSG00000237945",360.060985643119,-1.32962112180422,0.360835767104541,-3.68483737760676,0.000228848709800109,0.0820270977897981
"ENSG00000160180",16.4158032937325,-1.5117359477651,0.412377782296044,-3.6659005714324,0.000246469680471106,0.0862643881648871
"ENSG00000212932",3.06447668401463,-1.85871946430716,0.57697642731475,-3.22148250138684,0.00127529249737435,0.165678150994429
"ENSG00000154678",819.484175452794,-1.18226468905372,0.387230513318215,-3.05312894617415,0.00226468601968899,0.214479192847636
"ENSG00000187037",2.11376151446879,-2.04591311405176,1.03499358828883,-1.97673989211306,0.0480710391074377,0.582530921974041
