"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000110148",11.3472526496195,2.38914261746053,0.511513326160973,4.67073387000805,3.00125566283582e-06,0.00506135870001679
"ENSG00000109851",88.0294757672703,2.72309260354092,0.72274867606104,3.76768950775766,0.000164765453882354,0.0690390458169018
"ENSG00000255323",2.60574187432693,1.20884197569565,0.465958170847848,2.59431436408994,0.00947797811963405,0.370412520121267
"ENSG00000066382",475.545040982403,1.18599147760362,0.44177807195309,2.68458656709778,0.00726195744703677,0.34134634195369
"ENSG00000255480",15.5328976244504,1.56245035016927,0.465288644848866,3.35802381482313,0.000785018494783681,0.138016249097105
"ENSG00000254489",12.099408502832,1.12331790781446,0.419597486839325,2.67713211600957,0.00742553482896564,0.343014208408739
"ENSG00000186082",4.22524765128228,1.16846856281565,0.423573943326655,2.7585940571291,0.00580505968863722,0.320368289895465
"ENSG00000254919",14.903921519276,1.20743295510023,0.45606715782839,2.64748937601546,0.00810919077035456,0.356173482044955
"ENSG00000109991",220.984115092365,1.17339712638339,0.529136831561206,2.21756841783497,0.0265842732676444,0.504539487010216
"ENSG00000266018",4.4600197017769,1.65057922732759,0.621828301772427,2.65439707813696,0.00794502725893153,0.35322314252949
"ENSG00000256733",4.43932817636316,1.26795254488045,0.448509184290204,2.82703808370628,0.00469807402239192,0.289974485821908
"ENSG00000261645",11.459572505748,1.3218963044558,0.431030457832486,3.06682806385236,0.00216343259552146,0.210684330117426
"ENSG00000149968",2.49211791486011,1.14931447281152,0.543805211480486,2.11346719109691,0.0345608002885376,0.541722753262946
"ENSG00000255371",5.72667783399509,1.17130299488844,0.477247094383978,2.4542904685472,0.0141162904345594,0.421068717282284
"ENSG00000236557",10.52424779175,1.14645471516438,0.526697810730386,2.17668403362938,0.0295041503873831,0.520558652670971
"ENSG00000184221",19.7993091745508,2.14465934455922,0.936516120692551,2.29003996532729,0.02201899999194,0.485593217020174
"ENSG00000159212",12.4064912642591,2.11618362747066,0.619651581316475,3.41511857837067,0.000637542503838353,0.12391225942279
"ENSG00000183036",92.0188644297837,1.01434383705154,0.293043214974768,3.46141382983011,0.00053734611184118,0.119298856919964
"ENSG00000228944",6.6294753989735,1.31261427871087,0.444841923732712,2.95074319366437,0.00317010371239396,0.243020413874767
"ENSG00000237065",9.07395613860637,1.30884858334393,0.38290954875277,3.41816647719329,0.000630445324569884,0.123754226796805
"ENSG00000197085",4.29869605534379,2.18537537949631,0.720002524415885,3.03523294070286,0.00240349974974481,0.218280291232479
"ENSG00000187258",4.11320996929743,1.55957277532521,0.672137784450344,2.32031707100142,0.02032373130883,0.472481216811777
